Driver_ID,flag_duplicate_name,flag_license_vs_age,total_trips,usable_trips,excluded_overlap_trips,excluded_overlap_exposure_min,usable_exposure_min,weighted_exposure_min,clean_usable_trips,downweighted_usable_trips,data_confidence_pct,accel_rate_per10min,brake_rate_per10min,harsh_event_rate_per_10min_weighted,speed_delta_mean_kmph_weighted,component_score_accel,component_score_brake,component_score_event_rate,component_score_speed_delta,driver_safety_score,scoring_status
D01,0,0,15,13,2,52.0,375.0,280.5,7,6,53.85,0.1961,0.2852,0.4813,10.0908,90.2,85.74,83.96,49.55,77.36,SCORED
D02,0,0,15,11,4,120.0,282.0,204.0,5,6,45.45,0.3431,0.4657,0.8088,11.729,82.84,76.72,73.04,41.36,68.49,SCORED
D03,0,0,15,15,0,0.0,482.0,292.0,4,11,26.67,0.9075,0.8733,1.7808,15.1406,54.62,56.34,40.64,24.3,43.97,SCORED
D04,0,0,15,15,0,0.0,475.0,361.0,8,7,53.33,0.2909,0.374,0.6648,10.6881,85.46,81.3,77.84,46.56,72.79,SCORED
D05,0,0,15,13,2,83.0,399.0,226.5,2,11,15.38,0.1987,0.1325,0.3311,6.8794,90.07,93.38,88.96,65.6,84.5,SCORED
D06,0,0,15,13,2,65.0,405.0,249.5,3,10,23.08,1.1623,0.8818,2.0441,17.2358,41.88,55.91,31.86,13.82,35.87,SCORED
D07,1,0,15,13,2,69.0,393.0,235.5,3,10,23.08,0.2123,0.2972,0.5096,10.5625,89.38,85.14,83.01,47.19,76.18,SCORED
D08,0,1,15,15,0,0.0,466.0,297.0,4,11,26.67,0.3199,0.2862,0.6061,10.251,84.01,85.69,79.8,48.74,74.56,SCORED
D09,0,0,15,13,2,24.0,372.0,240.0,4,9,30.77,0.3333,0.25,0.5833,7.2979,83.33,87.5,80.56,63.51,78.72,SCORED
D10,0,0,15,13,2,83.0,387.0,254.5,5,8,38.46,0.2554,0.3143,0.5697,11.3605,87.23,84.28,81.01,43.2,73.93,SCORED
D11,0,0,15,12,3,82.0,275.0,196.5,5,7,41.67,0.1781,0.2036,0.3817,6.4256,91.09,89.82,87.28,67.87,84.02,SCORED
D12,0,0,15,15,0,0.0,360.0,212.0,3,12,20.0,0.7547,0.7547,1.5094,14.8034,62.26,62.26,49.69,25.98,50.05,SCORED
D13,0,0,15,15,0,0.0,431.0,314.0,7,8,46.67,0.3185,0.621,0.9395,11.5578,84.08,68.95,68.68,42.21,65.98,SCORED
D14,1,0,15,13,2,76.0,350.0,244.0,4,9,30.77,1.1066,1.127,2.2336,16.6129,44.67,43.65,25.55,16.94,32.7,SCORED
D15,0,0,15,13,2,57.0,422.0,284.5,4,9,30.77,0.4569,0.3163,0.7733,10.6567,77.15,84.18,74.22,46.72,70.57,SCORED
D16,0,0,15,13,2,54.0,405.0,301.0,7,6,53.85,0.299,0.2326,0.5316,7.0798,85.05,88.37,82.28,64.6,80.08,SCORED
D17,0,0,15,15,0,0.0,438.0,306.5,7,8,46.67,0.3426,0.3263,0.6688,10.5765,82.87,83.69,77.71,47.12,72.85,SCORED
D18,0,0,15,13,2,79.0,321.0,241.0,8,5,61.54,0.166,0.1452,0.3112,6.1126,91.7,92.74,89.63,69.44,85.88,SCORED
D19,0,0,15,13,2,24.0,314.0,207.5,6,7,46.15,0.988,1.3253,2.3133,16.4622,50.6,33.73,22.89,17.69,31.23,SCORED
D20,0,0,15,15,0,0.0,380.0,231.5,4,11,26.67,0.324,0.3672,0.6911,10.4759,83.8,81.64,76.96,47.62,72.51,SCORED
D21,0,1,15,13,2,83.0,389.0,294.0,7,6,53.85,0.5782,0.2721,0.8503,10.6868,71.09,86.39,71.66,46.57,68.93,SCORED
D22,0,0,15,13,2,53.0,405.0,267.0,5,8,38.46,0.1311,0.1685,0.2996,6.5766,93.45,91.57,90.01,67.12,85.54,SCORED
D23,1,0,15,15,0,0.0,457.0,291.0,4,11,26.67,1.0825,1.0309,2.1134,16.1863,45.88,48.45,29.55,19.07,35.74,SCORED
D24,0,0,15,11,4,103.0,357.0,225.5,4,7,36.36,1.153,1.2195,2.3725,17.1743,42.35,39.02,20.92,14.13,29.1,SCORED
D25,0,0,15,15,0,0.0,439.0,264.5,4,11,26.67,0.3781,0.3592,0.7372,10.3754,81.1,82.04,75.43,48.12,71.67,SCORED
D26,0,0,15,15,0,0.0,419.0,320.5,9,6,60.0,0.4836,0.4212,0.9048,8.5104,75.82,78.94,69.84,57.45,70.51,SCORED
D27,0,0,15,15,0,0.0,366.0,296.5,9,6,60.0,0.3373,0.3035,0.6408,11.1667,83.14,84.82,78.64,44.17,72.69,SCORED
D28,0,0,15,11,4,93.0,307.0,182.5,2,9,18.18,0.1644,0.2192,0.3836,6.5649,91.78,89.04,87.21,67.18,83.8,SCORED
D29,1,0,15,13,2,84.0,358.0,234.0,3,10,23.08,0.3205,0.2564,0.5769,7.4195,83.97,87.18,80.77,62.9,78.71,SCORED
D30,0,0,15,13,2,50.0,424.0,239.5,2,11,15.38,0.4802,0.4802,0.9603,11.6163,75.99,75.99,67.99,41.92,65.47,SCORED
