Trip_ID,Driver_ID,Vehicle_ID,Trip_Date,trip_duration_min,trip_distance_km,avg_speed_kmph,max_speed_kmph,min_speed_kmph,speed_std_kmph,speed_range_kmph,harsh_accel_events,harsh_brake_events,harsh_event_rate_per_10min,speed_delta_mean_kmph,stop_count,stop_duration_min,moving_time_min,telemetry_flagged_minute_pct,any_trip_quality_flag,flag_overlap_driver,flag_overlap_vehicle,flag_non_primary_vehicle,flag_distance_vs_gps,flag_distance_vs_speed_integral,flag_has_gps_teleport,flag_has_speed_jump,optional_high_speed_time_pct,optional_accel_mag_mean_g,optional_accel_mag_std_g,optional_gyro_mag_mean_dps
T00001,D01,V01,2026-08-04,16,9.34,28.7,39.4,20.0,5.987232944635888,19.4,0,0,0.0,7.293333333333333,0,0,16,0.0,0,0,0,0,0,0,0,0,12.5,1.015942849371013,0.07193238908424672,2.626879318044309
T00002,D01,V01,2026-08-02,22,5.0,28.5,54.4,2.5,13.550355021626599,51.9,1,2,1.3636363636363635,14.133333333333335,0,0,22,0.0,1,0,0,0,0,1,0,0,22.727272727272727,0.9981214659653616,0.04317178418357944,4.626561836212162
T00003,D01,V01,2026-07-31,27,7.25,16.9,32.7,0.0,8.779127344051737,32.7,0,0,0.0,11.088461538461539,2,2,25,0.0,0,0,0,0,0,0,0,0,0.0,1.0168001188706366,0.08421880685859248,4.699843083707394
T00004,D01,V01,2026-07-31,42,9.27,23.9,40.4,7.6,6.219379345441851,32.8,0,0,0.0,6.560975609756097,0,0,42,0.0,1,0,0,0,0,1,0,0,2.380952380952381,1.004190567676735,0.05943017200806016,7.708967822806433
T00005,D01,V01,2026-08-01,13,7.74,28.7,42.5,5.2,10.79007735054616,37.3,0,1,0.7692307692307692,12.674999999999999,0,0,13,0.0,0,0,0,0,0,0,0,0,15.384615384615385,1.0404150700687913,0.0914955671325,6.098401847544783
T00006,D01,V01,2026-08-05,19,11.26,21.7,33.4,4.7,7.635723214329337,28.7,1,0,0.5263157894736842,11.827777777777778,0,0,19,0.0,1,1,1,0,0,1,0,0,0.0,1.0376359515598574,0.07437592523380064,5.227250844770779
T00007,D01,V01,2026-08-03,15,6.2,20.0,38.2,2.4,7.940822795319555,35.800000000000004,0,0,0.0,5.700000000000001,0,0,15,0.0,0,0,0,0,0,0,0,0,6.666666666666667,1.0517059681150167,0.05367784157680774,3.610976096774266
T00008,D01,V01,2026-08-04,41,14.97,25.3,41.7,2.0,9.302909327259915,39.7,1,1,0.48780487804878053,10.58,0,0,41,0.0,0,0,0,0,0,0,0,0,7.317073170731707,1.0323590206089621,0.09338428069802206,6.52930803927015
T00009,D01,V01,2026-08-06,31,17.09,23.8,42.3,3.1,10.296817547810742,39.199999999999996,0,0,0.0,10.403333333333334,0,0,31,0.0,1,0,0,0,0,1,0,0,9.67741935483871,1.086552703846149,0.18094869205599987,5.110172455488585
T00010,D01,V01,2026-08-05,33,16.27,30.6,47.5,0.0,10.016484519092122,47.5,2,3,1.5151515151515151,11.390625,1,1,32,0.0,1,1,1,0,0,0,0,0,24.242424242424242,1.0130179965443091,0.0868266549569978,4.52194448494512
T00011,D01,V01,2026-08-03,41,23.39,22.8,33.9,9.5,6.552526974846998,24.4,0,0,0.0,6.907500000000001,0,0,41,0.0,1,0,0,0,0,1,0,0,0.0,1.024592244195966,0.0786053526282438,4.339219835634773
