Trip_ID,Driver_ID,Vehicle_ID,Timestamp,Latitude,Longitude,Speed_kmph,Accel_X_g,Accel_Y_g,Accel_Z_g,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,timestamp_gap_s,gps_step_km,speed_delta_kmph,flag_gps_wgs84_invalid,flag_speed_out_of_range,flag_gps_teleport,flag_speed_jump,flag_accel_outlier,flag_gyro_outlier,flag_timestamp_gap_irregular
T00001,D01,V01,2026-08-04 11:08:00,12.991693,77.559009,22.1,0.07,-0.035,0.998,1.49,1.09,-1.33,,,,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:09:00,12.99359,77.564465,37.9,0.035,0.013,0.968,-0.64,-0.94,-1.28,60.0,0.6276544795743619,15.799999999999997,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:10:00,12.993377,77.568199,20.0,-0.096,0.029,1.049,-0.7,-0.92,1.72,60.0,0.4052635600183991,17.9,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:11:00,12.993633,77.573369,27.9,-0.505,0.02,1.027,-0.62,0.91,-1.32,60.0,0.5608811646478422,7.899999999999999,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:12:00,12.992679,77.576146,23.6,0.017,0.046,0.982,-0.16,-3.37,-2.89,60.0,0.31903474062391046,4.299999999999997,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:13:00,12.997435,77.580957,36.6,0.027,0.008,0.965,-1.9,-0.68,1.68,60.0,0.7425531079657437,13.0,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:14:00,12.997651,77.586157,39.4,-0.07,-0.018,1.057,-0.48,-2.05,0.36,60.0,0.5639113397523853,2.799999999999997,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:15:00,12.995323,77.589742,23.5,0.032,-0.064,0.94,1.27,-0.44,-2.94,60.0,0.4667776220024955,15.899999999999999,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:16:00,12.994595,77.593796,22.7,0.16,-0.124,0.98,-0.83,-1.22,-0.28,60.0,0.4466366507246853,0.8000000000000007,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:17:00,12.992866,77.598549,30.0,-0.101,0.059,1.038,-1.0,-2.37,-1.93,60.0,0.5496940188046913,7.300000000000001,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:18:00,12.991871,77.603051,24.9,-0.013,0.014,0.976,0.89,-0.91,-2.45,60.0,0.5001743928112895,5.100000000000001,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:19:00,12.995576,77.606623,29.1,0.004,0.073,1.026,0.86,3.07,0.37,60.0,0.5652506232107387,4.200000000000003,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:20:00,12.999546,77.609726,27.6,-0.643,0.034,0.996,-0.79,-0.01,-0.33,60.0,0.5548888930235679,1.5,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:21:00,13.004507,77.612276,33.3,-0.032,-0.092,1.022,-2.65,0.06,-0.97,60.0,0.616955251200338,5.699999999999996,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:22:00,13.008866,77.611142,33.8,-0.032,-0.003,0.967,0.18,0.46,5.03,60.0,0.500027376586603,0.5,0,0,0,0,0,0,0
T00001,D01,V01,2026-08-04 11:23:00,13.011179,77.6074,27.1,-0.018,0.035,0.905,-0.33,-2.12,-1.06,60.0,0.480110895028715,6.699999999999996,0,0,0,0,0,0,0
T00002,D01,V01,2026-08-02 20:38:00,13.00079,77.560607,20.1,-0.018,-0.007,0.954,-0.47,0.35,0.59,,,,0,0,0,0,0,0,0
T00002,D01,V01,2026-08-02 20:39:00,13.002285,77.561016,21.6,-0.046,-0.019,0.957,2.6,1.17,3.46,60.0,0.17204119568068987,1.5,0,0,0,0,0,0,0
T00002,D01,V01,2026-08-02 20:40:00,13.005469,77.560839,46.6,0.031,-0.021,0.988,1.56,-0.38,2.34,60.0,0.35456361919066787,25.0,0,0,0,0,0,0,0
T00002,D01,V01,2026-08-02 20:41:00,13.007005,77.560334,22.5,-0.044,0.027,0.995,-2.03,0.07,-2.43,60.0,0.17934482851028624,24.1,0,0,0,0,0,0,0
T00002,D01,V01,2026-08-02 20:42:00,13.00939,77.559633,34.6,-0.05,0.018,1.069,-4.13,-1.18,1.18,60.0,0.2758604458687863,12.100000000000001,0,0,0,0,0,0,0
T00002,D01,V01,2026-08-02 20:43:00,13.011015,77.559063,24.0,0.0,0.062,1.016,-1.73,-0.3,-0.31,60.0,0.1909530866323514,10.600000000000001,0,0,0,0,0,0,0
T00002,D01,V01,2026-08-02 20:44:00,13.013215,77.558601,38.1,0.048,-0.034,1.026,2.66,1.71,1.68,60.0,0.24969694909430692,14.100000000000001,0,0,0,0,0,0,0
T00002,D01,V01,2026-08-02 20:45:00,13.014443,77.559988,28.9,0.064,0.051,0.908,-3.2,-1.59,0.88,60.0,0.20303964987083176,9.200000000000003,0,0,0,0,0,0,0
T00002,D01,V01,2026-08-02 20:46:00,13.014596,77.559897,2.5,-0.014,0.048,1.031,0.46,1.06,-1.41,60.0,0.019662972221030084,26.4,0,0,0,0,0,0,0
