trip_a,trip_b,vehicle_id,driver_a,driver_b,trip_a_start,trip_a_end,trip_b_start,trip_b_end
T00010,T00006,V01,D01,D01,2026-08-05 10:32:00,2026-08-05 11:05:00,2026-08-05 10:35:00,2026-08-05 10:54:00
T00021,T00019,V02,D02,D02,2026-08-01 16:19:00,2026-08-01 17:04:00,2026-08-01 16:47:00,2026-08-01 17:07:00
T00022,T00016,V02,D02,D02,2026-08-02 17:16:00,2026-08-02 17:57:00,2026-08-02 17:34:00,2026-08-02 17:48:00
T00061,T00067,V05,D05,D05,2026-08-05 12:32:00,2026-08-05 13:14:00,2026-08-05 12:38:00,2026-08-05 13:19:00
T00445,T00081,V06,D30,D06,2026-07-31 20:03:00,2026-07-31 20:48:00,2026-07-31 20:44:00,2026-07-31 21:20:00
T00082,T00086,V06,D06,D06,2026-08-04 11:07:00,2026-08-04 11:50:00,2026-08-04 11:34:00,2026-08-04 11:56:00
T00094,T00101,V07,D07,D07,2026-08-04 20:09:00,2026-08-04 20:53:00,2026-08-04 20:09:00,2026-08-04 20:34:00
T00122,T00124,V09,D09,D09,2026-08-05 13:52:00,2026-08-05 14:03:00,2026-08-05 13:59:00,2026-08-05 14:12:00
T00138,T00149,V10,D10,D10,2026-08-01 09:51:00,2026-08-01 10:30:00,2026-08-01 09:55:00,2026-08-01 10:39:00
T00159,T00154,V11,D11,D11,2026-07-31 07:55:00,2026-07-31 08:07:00,2026-07-31 07:56:00,2026-07-31 08:29:00
T00154,T00158,V11,D11,D11,2026-07-31 07:56:00,2026-07-31 08:29:00,2026-07-31 08:28:00,2026-07-31 09:05:00
T00206,T00196,V14,D14,D14,2026-07-31 14:21:00,2026-07-31 15:04:00,2026-07-31 14:57:00,2026-07-31 15:30:00
T00219,T00211,V15,D15,D15,2026-08-04 19:35:00,2026-08-04 20:17:00,2026-08-04 19:44:00,2026-08-04 19:59:00
T00231,T00239,V16,D16,D16,2026-08-03 12:54:00,2026-08-03 13:21:00,2026-08-03 13:20:00,2026-08-03 13:47:00
T00270,T00260,V18,D18,D18,2026-08-05 08:51:00,2026-08-05 09:35:00,2026-08-05 09:31:00,2026-08-05 10:06:00
T00281,T00278,V19,D19,D19,2026-08-06 08:30:00,2026-08-06 08:43:00,2026-08-06 08:36:00,2026-08-06 08:47:00
T00321,T00330,V22,D22,D22,2026-08-06 14:15:00,2026-08-06 14:56:00,2026-08-06 14:25:00,2026-08-06 14:37:00
T00353,T00359,V24,D24,D24,2026-08-01 17:51:00,2026-08-01 18:03:00,2026-08-01 17:55:00,2026-08-01 18:24:00
T00346,T00356,V24,D24,D24,2026-08-04 17:44:00,2026-08-04 18:06:00,2026-08-04 17:47:00,2026-08-04 18:27:00
T00407,T00418,V28,D28,D28,2026-08-01 12:58:00,2026-08-01 13:16:00,2026-08-01 13:05:00,2026-08-01 13:31:00
T00420,T00408,V28,D28,D28,2026-08-04 14:13:00,2026-08-04 14:45:00,2026-08-04 14:21:00,2026-08-04 14:38:00
T00448,T00443,V30,D30,D30,2026-08-03 09:07:00,2026-08-03 09:32:00,2026-08-03 09:19:00,2026-08-03 09:44:00
