Trip_ID,Driver_ID,Vehicle_ID,Trip_Date,Start_Time,End_Time,Duration_Min,Distance_KM,Avg_Speed_kmph,Max_Speed_kmph,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,start_ts,end_ts,duration_clock_min,telemetry_row_count,gps_path_km,speed_integral_km,telemetry_avg_speed_kmph,telemetry_max_speed_kmph,flag_overlap_driver,flag_overlap_vehicle,flag_non_primary_vehicle,flag_distance_vs_gps,flag_distance_vs_speed_integral,flag_has_gps_teleport,flag_has_speed_jump
T00001,D01,V01,2026-08-04,11:08:00,11:24:00,16,9.34,28.7,39.4,12.991693,77.559009,13.011179,77.6074,2026-08-04 11:08:00,2026-08-04 11:24:00,16.0,16,7.899814115975767,7.658333333333333,28.71875,39.4,0,0,0,0,0,0,0
T00002,D01,V01,2026-08-02,20:38:00,21:00:00,22,5.0,28.5,54.4,13.00079,77.560607,13.038001,77.563879,2026-08-02 20:38:00,2026-08-02 21:00:00,22.0,22,4.503791080783132,10.466666666666667,28.545454545454547,54.4,0,0,0,0,1,0,0
T00003,D01,V01,2026-07-31,21:11:00,21:38:00,27,7.25,16.9,32.7,12.983049,77.554049,12.949627,77.52124,2026-07-31 21:11:00,2026-07-31 21:38:00,27.0,27,6.453775180696724,7.605,16.900000000000002,32.7,0,0,0,0,0,0,0
T00004,D01,V01,2026-07-31,17:36:00,18:18:00,42,9.27,23.9,40.4,12.974957,77.549494,12.987157,77.479689,2026-07-31 17:36:00,2026-07-31 18:18:00,42.0,42,8.533934363117968,16.735,23.90714285714286,40.4,0,0,0,0,1,0,0
T00005,D01,V01,2026-08-01,17:06:00,17:19:00,13,7.74,28.7,42.5,12.997466,77.547647,12.997395,77.504517,2026-08-01 17:06:00,2026-08-01 17:19:00,13.0,13,6.387752811918192,6.22,28.707692307692305,42.5,0,0,0,0,0,0,0
T00006,D01,V01,2026-08-05,10:35:00,10:54:00,19,11.26,21.7,33.4,12.997977,77.551773,13.068164,77.57159,2026-08-05 10:35:00,2026-08-05 10:54:00,19.0,19,9.491208242575192,6.88,21.726315789473684,33.4,1,1,0,0,1,0,0
T00007,D01,V01,2026-08-03,11:32:00,11:47:00,15,6.2,20.0,38.2,12.992633,77.564429,13.022862,77.538041,2026-08-03 11:32:00,2026-08-03 11:47:00,15.0,15,5.527590782462611,5.008333333333334,20.033333333333335,38.2,0,0,0,0,0,0,0
T00008,D01,V01,2026-08-04,15:03:00,15:44:00,41,14.97,25.3,41.7,12.980346,77.556282,12.921142,77.64436,2026-08-04 15:03:00,2026-08-04 15:44:00,41.0,41,13.523204423427476,17.308333333333334,25.329268292682926,41.7,0,0,0,0,0,0,0
T00009,D01,V01,2026-08-06,12:00:00,12:31:00,31,17.09,23.8,42.3,12.999075,77.541607,13.028601,77.450753,2026-08-06 12:00:00,2026-08-06 12:31:00,31.0,31,15.471800531897738,12.316666666666666,23.838709677419356,42.3,0,0,0,0,1,0,0
T00010,D01,V01,2026-08-05,10:32:00,11:05:00,33,16.27,30.6,47.5,12.996834,77.568587,13.017821,77.682427,2026-08-05 10:32:00,2026-08-05 11:05:00,33.0,33,14.571605081740552,16.851666666666667,30.63939393939394,47.5,1,1,0,0,0,0,0
T00011,D01,V01,2026-08-03,06:16:00,06:57:00,41,23.39,22.8,33.9,13.00117,77.560708,13.161872,77.558504,2026-08-03 06:16:00,2026-08-03 06:57:00,41.0,41,21.371898991029123,15.593333333333334,22.819512195121952,33.9,0,0,0,0,1,0,0
T00012,D01,V01,2026-08-05,12:12:00,12:41:00,29,11.69,32.1,45.8,12.993387,77.568616,13.044252,77.626447,2026-08-05 12:12:00,2026-08-05 12:41:00,29.0,29,10.666148844974863,15.523333333333333,32.11724137931034,45.8,0,0,0,0,1,0,0
T00013,D01,V01,2026-08-01,18:52:00,19:29:00,37,14.92,28.1,47.0,12.996354,77.56434,12.916501,77.634517,2026-08-01 18:52:00,2026-08-01 19:29:00,37.0,37,13.623276427520361,17.301666666666666,28.056756756756755,47.0,0,0,0,0,0,0,0
T00014,D01,V01,2026-08-05,11:27:00,11:51:00,24,16.29,29.5,45.0,12.983048,77.560273,12.893771,77.525901,2026-08-05 11:27:00,2026-08-05 11:51:00,24.0,24,14.367516225329013,11.803333333333335,29.508333333333336,45.0,0,0,0,0,1,0,0
T00015,D01,V01,2026-08-01,07:31:00,08:08:00,37,14.69,19.9,47.2,12.987554,77.54997,12.935055,77.46639,2026-08-01 07:31:00,2026-08-01 08:08:00,37.0,37,12.854349962706634,12.256666666666666,19.875675675675677,47.2,0,0,0,0,0,0,0
T00016,D02,V02,2026-08-02,17:34:00,17:48:00,14,6.21,23.1,44.7,12.911694,77.651834,12.923331,77.685931,2026-08-02 17:34:00,2026-08-02 17:48:00,14.0,14,5.83250839693864,5.388333333333334,23.092857142857145,44.7,1,1,0,0,0,0,0
T00017,D02,V02,2026-08-06,12:34:00,12:59:00,25,9.63,22.8,38.0,12.90325,77.648643,12.867285,77.701946,2026-08-06 12:34:00,2026-08-06 12:59:00,25.0,25,8.559060076520023,9.481666666666666,22.756,38.0,0,0,0,0,0,0,0
T00018,D02,V02,2026-08-06,07:24:00,07:49:00,25,19.0,22.2,33.7,12.925859,77.64112,13.020884,77.699906,2026-08-06 07:24:00,2026-08-06 07:49:00,25.0,25,16.388471716551706,9.236666666666668,22.168000000000003,33.7,0,0,0,0,1,0,0
T00019,D02,V02,2026-08-01,16:47:00,17:07:00,20,6.61,16.9,31.5,12.911947,77.642966,12.913443,77.593752,2026-08-01 16:47:00,2026-08-01 17:07:00,20.0,20,5.8165832349403095,5.628333333333333,16.884999999999998,31.5,1,1,0,0,0,0,0
T00020,D02,V02,2026-08-05,07:47:00,08:30:00,43,9.39,21.7,44.1,12.912162,77.646102,12.911781,77.571979,2026-08-05 07:47:00,2026-08-05 08:30:00,43.0,43,8.875692419113069,15.56,21.711627906976744,44.1,0,0,0,0,1,0,0
T00021,D02,V02,2026-08-01,16:19:00,17:04:00,45,23.92,18.8,36.3,12.923982,77.628617,12.774728,77.67524,2026-08-01 16:19:00,2026-08-01 17:04:00,45.0,45,22.707642082091215,14.088333333333333,18.784444444444443,36.3,1,1,0,0,1,0,0
T00022,D02,V02,2026-08-02,17:16:00,17:57:00,41,11.6,22.3,36.9,12.918688,77.642154,12.895615,77.731756,2026-08-02 17:16:00,2026-08-02 17:57:00,41.0,41,11.001987815223927,15.246666666666666,22.31219512195122,36.9,1,1,0,0,1,0,0
T00023,D02,V02,2026-08-03,12:35:00,12:56:00,21,15.2,26.8,50.7,12.911893,77.64747,12.819021,77.665485,2026-08-03 12:35:00,2026-08-03 12:56:00,21.0,21,12.800785871838219,9.370000000000001,26.771428571428572,50.7,0,0,0,0,1,0,1
T00024,D02,V02,2026-08-04,06:16:00,06:51:00,35,16.23,27.5,50.5,12.916949,77.638204,13.007097,77.692563,2026-08-04 06:16:00,2026-08-04 06:51:00,35.0,35,15.047854009988107,16.066666666666666,27.542857142857144,50.5,0,0,0,0,0,0,1
T00025,D02,V02,2026-08-05,11:15:00,11:32:00,17,7.73,19.6,31.9,12.917555,77.641103,12.919545,77.68289,2026-08-05 11:15:00,2026-08-05 11:32:00,17.0,17,6.786955069941163,5.545,19.570588235294117,31.9,0,0,0,0,0,0,0
T00026,D02,V02,2026-08-02,15:03:00,15:16:00,13,11.49,28.1,41.9,12.923164,77.651588,12.959218,77.656964,2026-08-02 15:03:00,2026-08-02 15:16:00,13.0,13,9.452247219282487,6.086666666666667,28.092307692307692,41.9,0,0,0,0,1,0,0
T00027,D02,V02,2026-08-02,14:14:00,14:33:00,19,11.53,21.3,34.3,12.909107,77.644399,12.949772,77.673275,2026-08-02 14:14:00,2026-08-02 14:33:00,19.0,19,9.454940054014287,6.735,21.26842105263158,34.3,0,0,0,0,1,0,0
T00028,D02,V02,2026-08-06,20:34:00,20:52:00,18,9.1,29.3,50.9,12.914477,77.638661,12.919607,77.564016,2026-08-06 20:34:00,2026-08-06 20:52:00,18.0,18,8.318526486888066,8.798333333333334,29.327777777777776,50.9,0,0,0,0,0,0,0
T00029,D02,V02,2026-08-06,10:28:00,11:12:00,44,14.25,17.7,36.3,12.917178,77.644843,12.844217,77.581758,2026-08-06 10:28:00,2026-08-06 11:12:00,44.0,44,13.71960851006006,13.008333333333333,17.738636363636363,36.3,0,0,0,0,0,0,0
T00030,D02,V02,2026-08-04,12:22:00,12:44:00,22,10.41,22.1,35.1,12.906694,77.632706,12.943706,77.581729,2026-08-04 12:22:00,2026-08-04 12:44:00,22.0,22,9.609072223770381,8.115,22.131818181818183,35.1,0,0,0,0,0,0,0
T00031,D03,V03,2026-08-02,19:58:00,20:16:00,18,9.23,14.3,32.4,12.924827,77.608182,12.97527,77.624701,2026-08-02 19:58:00,2026-08-02 20:16:00,18.0,18,7.0541181666128665,4.276666666666667,14.255555555555556,32.4,0,0,0,1,1,0,0
T00032,D03,V03,2026-07-31,21:35:00,22:13:00,38,16.21,13.3,35.6,12.924166,77.618245,13.026969,77.648359,2026-07-31 21:35:00,2026-07-31 22:13:00,38.0,38,14.174278431555328,8.438333333333334,13.323684210526316,35.6,0,0,0,0,1,0,0
T00033,D03,V03,2026-08-03,11:49:00,12:03:00,14,8.27,23.6,46.6,12.912888,77.624811,12.956101,77.630261,2026-08-03 11:49:00,2026-08-03 12:03:00,14.0,14,7.044909541398954,5.498333333333333,23.564285714285713,46.6,0,0,0,0,0,0,0
T00034,D03,V03,2026-08-06,10:48:00,11:10:00,22,6.26,29.8,58.8,12.916392,77.613761,12.904704,77.572184,2026-08-06 10:48:00,2026-08-06 11:10:00,22.0,22,5.826384420461023,10.933333333333334,29.818181818181817,58.8,0,0,0,0,1,0,0
T00035,D03,V03,2026-08-03,09:45:00,10:17:00,32,13.38,30.5,54.7,12.89927,77.622373,12.817121,77.598363,2026-08-03 09:45:00,2026-08-03 10:17:00,32.0,32,11.925713587439155,16.291666666666668,30.546875,54.7,0,0,0,0,0,0,0
T00036,D03,V03,2026-08-06,08:16:00,08:47:00,31,19.96,19.9,51.2,12.892579,77.61184,12.791769,77.543846,2026-08-06 08:16:00,2026-08-06 08:47:00,31.0,31,17.863737280281796,10.298333333333334,19.932258064516127,51.2,0,0,0,0,1,0,0
T00037,D03,V03,2026-08-05,20:06:00,20:49:00,43,18.13,25.4,68.8,12.890759,77.611141,12.834184,77.513294,2026-08-05 20:06:00,2026-08-05 20:49:00,43.0,43,16.436174429391652,18.188333333333333,25.37906976744186,68.8,0,0,0,0,0,0,1
T00038,D03,V03,2026-07-31,20:43:00,21:27:00,44,19.77,22.0,52.3,12.908639,77.6139,12.823519,77.50485,2026-07-31 20:43:00,2026-07-31 21:27:00,44.0,44,17.737590957755607,16.151666666666667,22.025000000000002,52.3,0,0,0,0,1,0,0
